ページ タイトル,ページパス + クエリ文字列,表示回数
"PEI MAX<sup>TM</sup> - Transfection Grade Linear Polyethylenimine Hydrochloride (MW 40,000)（PSI-24765100-100MG）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=23899613&ServerKey=Primary&selPrice=1,82
"Blood A type, Each CPDA-1（KOJ-12081445-450ML[1バッグ]）（カテゴリ：臨床検査試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=1993047&ServerKey=Primary&selPrice=1,30
"GelRed<sup>(R)</sup> Nucleic Acid Gel Stain, 10, 000X（BTI-41003-0.5ML）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=1806641&ServerKey=Primary&selPrice=1,29
"DH5α competent cell, Champion<sup>TM</sup>DH5α high（SMO-CC5202-80RXN）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19663857&ServerKey=Primary&selPrice=1,28
Trichrome Stain Kit (Modified Masson's)（SCY-TRM1-1KIT[125 ml ea.]）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3314552&ServerKey=Primary&selPrice=1,25
CellBrite<sup>TM</sup> Red Cytoplasmic Membrane Dye（BTI-30023-1ML）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1806573&ServerKey=Primary&selPrice=1,24
Cellular Senescence Detection Kit (SA-β-Gal Staining)（CBL-CBA230-1KIT[50 assays]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1826469&ServerKey=Primary&selPrice=1,24
EXORPTION(R) Extracellular vesicles purification kit（SAC-SCI010-1KIT）（カテゴリ：miRNA研究） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=27556871&ServerKey=Primary&selPrice=1,24
"Foetal Bovine Serum (FBS), Mexico Origin（SRN-SFBSMX015-500ML）（カテゴリ：生体試料） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=25285389&ServerKey=Primary&selPrice=1,22
Pooled Normal Plasma（GK-GKNP1-5*1ML[5×1_mL]）（カテゴリ：臨床検査試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1909258&ServerKey=Primary&selPrice=1,21
CoverGrip<sup>TM</sup> Coverslip Sealant（BTI-23005-15ML）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4317631&ServerKey=Primary&selPrice=1,21
Human Serum (each)（KOJ-12181211-100ML[100_mL]）（カテゴリ：生体試料） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1993102&ServerKey=Primary&selPrice=1,20
"Fetal Bovine Serum (FBS), Netherlands Origin（SRN-SFBSNL015-500ML）（カテゴリ：生体試料） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=23898581&ServerKey=Primary&selPrice=1,20
Human Serum (pool)（KOJ-12181201-100ML[100_mL]）（カテゴリ：生体試料） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1993101&ServerKey=Primary&selPrice=1,19
FITC-dextran 4（TDB-FD4-100MG）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=23043539&ServerKey=Primary&selPrice=1,19
"Rainbow Calf Scours (Rota, Corona, E.coli F5 (K99), Crypto)（BOX-BIOK288-4*5TEST[5 devices of 4 strips]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=4222358&ServerKey=Primary&selPrice=1,19
Corticosterone ELISA kit（ENZ-ADI900097-96WELL）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4761654&ServerKey=Primary&selPrice=1,19
"BL21(DE3) competent cell, Champion<sup>TM</sup>21（SMO-CC2104-24RXN）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19663856&ServerKey=Primary&selPrice=1,18
CD9/CD63 Exosome ELISA Kit（CSR-EXH0102EL-1KIT[96test]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18783533&ServerKey=Primary&selPrice=1,17
"DH5α competent cell, Champion<sup>TM</sup>DH5α high（SMO-CC5204-24RXN）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19663858&ServerKey=Primary&selPrice=1,17
"PEI MAX - Transfection Grade Linear Polyethylenimine Hydrochloride (MW 40,000)（PSI-247651-1G）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=16245730&ServerKey=Primary&selPrice=1,16
HaCaT (Human keratinocyte cell line) for Academic user（CLI-300493ACADEMIC-1VIAL[2x10<sup>6</sup>Cells/Vial]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17105566&ServerKey=Primary&selPrice=1,16
Amplite<sup>(R)</sup> Colorimetric Ammonia Quantitation Kit *Blue Color*（ABD-10059-1KIT[200 Tests]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=6686665&ServerKey=Primary&selPrice=1,16
Cellulase ≫Onozuka R-10≪ from Trichoderma viride ca. 1 U/mg（SER-16419-2.5G）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=2403733&ServerKey=Primary&selPrice=1,15
Lymphoprep<sup>TM</sup>（SEW-1856-250ML）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=25200415&ServerKey=Primary&selPrice=1,15
BIOMOL <sup>(R)</sup> Green Reagent（ENZ-BMLAK1110250-250ML）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4763256&ServerKey=Primary&selPrice=1,15
Oxytocin ELISA kit（ENZ-ADI900153A0001-96WELL）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=7332394&ServerKey=Primary&selPrice=1,15
"Platinum-E Retroviral Packaging Cell Line, Ecotropic（CBL-RV101-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=1826561&ServerKey=Primary&selPrice=1,14
RNAscope<sup>TM</sup> Multiplex Fluorescent Reagent Kit v2（ADC-323100-1KIT[(for 20 slides)]）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17095499&ServerKey=Primary&selPrice=1,13
Pluronic F-127（BTI-59000-1G）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1806730&ServerKey=Primary&selPrice=1,13
Incubation Chamber for 10 slides Dark Orange（KMB-10DO-1BOX）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1990167&ServerKey=Primary&selPrice=1,13
OptiPrep<sup>TM</sup>（SEW-1893-250ML）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=25200418&ServerKey=Primary&selPrice=1,13
Lipid Assay Kit（PMC-AK09F-1SET）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=2689554&ServerKey=Primary&selPrice=1,13
"ViraSafe<sup>TM</sup> Universal Lentiviral Expression System, Pantropic（CBL-VPK211PAN-1KIT）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=3277606&ServerKey=Primary&selPrice=1,13
6X GelRed<sup>(R)</sup> Prestain Buffer with Orange Tracking Dye（BTI-41010-1ML）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=7070812&ServerKey=Primary&selPrice=1,13
