"第一階層","第二階層","第三階層"
"Analytical Laboratory Services","Analytical Separations & Purification","Analytical Ultracentrifugation
Capillary Electrophoresis
Centrifugal Precipitation Chromatography
Chiral Separation
Denaturing High Performance Liquid Chromatography
Electrophoresis
Expanded Bed Adsorption Chromatography
Headspace Gas Chromatography
Hydrophobic Interaction Chromatography
Immunoaffinity Chromatography
Ion Exchange Chromatography
LCMS Analysis
Liquid Chromatography
Protein Binding HPLC
Protein Purification
Protein Separation and Detection
Reverse Phase Chromatography
Size Exclusion Chromatography
Spray Drying"
"","Microbial Contamination Detection","Bacterial Water Analysis
Limulus Amebocyte Lysate (LAL) Test
Microbiological Sterility Testing
USP <2021> Microbial Enumeration Tests
USP <2022> Microbiological Procedures for Absence of Specified Microorganisms
USP <61> Microbial Limits Test
USP <62> Microbial Limits Test
USP <85> Bacterial Endotoxin Test"
"","Sample Bioanalysis","GLP Large Molecule Bioanalysis
GLP Small Molecule Bioanalysis
Non GLP Large Molecule Bioanalysis
Non GLP Small Molecule Bioanalysis"
"","Structural Elucidation","Circular Dichroism
Computed Tomography
Confocal/Optical Microscopy
Differential Scanning Calorimetry
Electron Backscatter Diffraction
Electron Microscopy
High Resolution MS
NMR Methods
NMR Structure
Phase Contrast X-Ray Imaging
Protein Crystallization
Protein Structure
Scanning and Transmission Electron Microscopy
Small Angle Neutron Scattering
Small Angle X-Ray Scattering
Solid State Nuclear Magnetic Resonance
Solution Nuclear Magenetic Resonance
Structural Chemistry
Structural Spectroscopy
Structure Determination
Ultrasound Tomography
X-Ray Crystallography
X-ray Microscopy and Nanotomography (Nano-CT)"
"","Chemical Imaging","Atomic Force Microscopy
Co Crystallization
Fluorescence Mediated Tomography
Light Sheet Fluorescence Microscopy
Optical Tomographic Imaging
Stochastic Optical Reconstruction Microscopy (STORM)
Total Internal Reflection Fluorescence Microscopy
Impurity Profiling
Elemental Impurity Analysis
Process Residual Impurities Detection
Secondary Ion Mass Spectrometry"
"","Physicochemical Analysis","Accelerated Stability
Adsorption/Desorption Studies
API Physical Characteristics
Chemical Stability
Compound Integrity
Diffuse Wave Spectroscopy
Dissolution Profiling
Dynamic Light Scattering
Dynamic Mechanical Analysis
Elevated Temperature Stability
Endotoxin Testing
Excipient Compatibility
Field Desorption Mass Spectrometry
Freeze-Thaw Testing
GC MS Analysis
Isothermal Titration Calorimetry
MALDI-TOF Analysis
Mass Spectrometry-Based Proteomics
Melting Point
Nano-High Performance Liquid Chromatography
OECD 104: GLP Vapour Pressure
OECD 106: Adsorption Study
Optical Birefringence Analysis
Optical Rotation
Package Compatibility Tests
PAO Stability Trial
Particle Size Analysis
Partition Coefficient
Photostability
Phototoxicity & Photosensitization Test
Protein Melting Point Analysis
Raman Spectroscopy
Real-time Stability Test
Release Testing
Solubility Assay
Static Light Scattering
Thermal Analysis
UV-Spectroscopy
Water Activity"
"","Clinical Pathology","Clinical Hematology
Clinical Pathology
Clinical Urinalysis"
"","Elemental Analysis","Accelerator Mass Spectrometry
Amino Acid Analysis (AAA)
Atomic Absorption Analysis
Auger Electron Spectroscopy
Energy Dispersive X-ray Spectroscopy
Glow Discharge Mass Spectrometry
Heavy Metals Analysis
Inductively Coupled Plasma (ICP) Analysis
Inductively Coupled Plasma-Mass Spectrometry (ICP-MS) Analysis
Low Energy X-ray Emission Spectrometry (LEXES)
Thermo Scientific iCAP Q ICP-MS
Total Reflections X-Ray Fluorescence
X-Ray Fluorescence (XRF)
X-ray Photoelectron Spectroscopy (XPS)"
"","Product Testing","Agricultural Testing
Nutritional Testing
Product Testing"
"","Sterilization Methods","Chlorine Dioxide Gas Sterilization
Dry-Heat Sterilization
Electron-Beam (E-Beam) Radiation Sterilization
Ethylene Oxide Sterilization
Filtration Sterilization
Formaldehyde Sterilzation
Gamma Irradiation Sterilization
Hydrogen Peroxide Gas Plasma Sterilization
Ozone Sterilization
Steam Sterilization
UV Sterilization & Treatment
Vaporized Hydrogen Peroxide Sterilization"
