"第一階層","第二階層","第三階層","第四階層",""
"Biology","Antibodies","Antibody Affinity Maturation","Affinity Maturation
Chain Shuffling
Constant Fragment (Fc) Engineering",""
"","","Antibody Amplification","Antibody Amplification",""
"","","Antibody Characterization","Antibody Detection
Antibody Glycosylation Assays
Antibody Isotyping
Epitope Mapping
Pepscan Analysis
Solid Phase Red Cell Adherence Assay
T Cell Epitope Characterization
X-Ray Crystallography",""
"","","Antibody Conjugation","Antibody Conjugation
Antibody-Drug Conjugation
Biotin-Antibody Conjugation
Hapten-Antibody Conjugation
Horseradish Peroxidase-Antibody",""
"","","Conjugation","Antibody Constructs
Anti-Idiotype Antibodies
Antibody Isotype Switching
Antibody Products
Antibody-Drug Conjugate Products
Antigen Binding Fragment (Fab)
Chicken Monoclonal Antibody Development
Custom Antibodies
Nanobodies
Phosphospecific Antibodies
Rabbit Monoclonal Antibody Development
Single Chain Variable Fragment (scFv)",""
"","","Antibody Detection","Antibody Sequencing
Circulating Antibody Assay Development
Direct Antibody Labeling
Direct Antiglobulin Test
Hemagglutination Inhibition Test
Immunoassays
Immunohistochemistry
Immunophenotyping
Indirect Antiglobulin Test
Liposome Immunoassa",""
"","","Antibody Humanization","Antibody Humanization
Antibody Resurfacing
Complementary Determining Region (CDR) Grafting
Germline Humanization
Specificity Determining Region (SDR) Grafting",""
"","","Antibody Production","Antibody Reformatting
Ascites Antibody Production
Hybridoma Production
In Vitro Monoclonal Antibody Production
OmniRat Transgenic Animal Platform
Polyclonal Antibody Production
Polyclonal/Monoclonal Antibody Production",""
"","","Antibody Purification","Antibody Purification
Centrifugal Precipitation Chromatography
Immunoaffinity Chromatography
Size Exclusion Chromatography
Other",""
"","","ADCC and CDC Assay Services","Antibody and Protein Products Hub
Toxin Linker Products",""
"","DNA","DNA Detection and Analysis","Capillary Electrophoresis
Cell Free DNA Assay
Digital Polymerase Chain Reaction
DNA Pull Down Assay
DNA-lipid interaction analysis
DNase Footprinting Assay
Electrophoretic Mobility Shift Assay
Isothermal Amplification
Linear DNA Amplification (LinDA)
Plasmid Retention Assay
Polyacrylamide Gel Electrophoresis
qPCR Analysis
Recombinant Nucleosomes
Threshold DNA Detection Assay
Whole Genome Amplification (WGA)

",""
"","","DNA Sequencing","Amplicon - HLA Typing
Amplicon 16s rRNA Sequencing
ChIP-Sequencing
ChIP-sequencing Profiling
De Novo Genome Sequencing
Exome Sequencing
Hybridoma Sequencing/Antibody Sequencing
Metagenomic Sequencing
mtDNA Sequencing
NGS: Next Generation Sequencing
RAD Sequencing
Sanger Sequencing
Targeted Sequencing/Resequencing
TCR Repertoire Sequencing
Whole Genome Bisulphite Seq
Whole Genome Sequencing",""
"","","Genome Editing","CRISPR
Engineered Meganucleases Genome Editing
Genome Editing
Recombinant AAV Mediated Genome Editing
Transcription Activator Like Effector Nucleases Genome Editing
Zinc Finger Nuclease Genome Editing
Molecular Biology Services
Artificial Chromosomes
cDNA cloning & subcloning
DNA Library Screening
DNA Mutagenesis
DNA Products
Gene Synthesis
Genomic DNA cloning
Genomic DNA Purification
Oligo Synthesis
Plasmid DNA Preparation
Other",""
