"第一階層","第二階層","第三階層","第四階層"
"Data Sciences","Innovative Informatics Tools & Technologies","AgileData
BioPrint(R) Services
cellPACK Models
chemTox
DILIsym(R) Modeling
Foresight(TM) Services
HISAT
HuMark Translational Platform
OncoGxOne(TM) Discovery
PluriTest
Protein Tomography
Robotic Cloud Lab Services
SR-Tesseler Method
ViromeScan - A Metagenomic Analysis Tool
Virtual and Experimental Cocrystal Screening
Virtual Fish EcoToxicology Laboratory",""
"","Omics Analytics","DNA Germline Analysis","Clinical Genomics
Copy Number Variant Analysis
Genetic Linkage Analysis
Genome Wide Association Studies
Pharmaco-genomics
Pharmacogenomics Analysis"
"","","DNA Somatic Analysis","Mutation Profiling
Somatic Alteration Burden"
"","","Gene Expression Analysis","Epigenomics Analysis
Gene Set Enrichment Analyses
Marker Analyses
Network Analyses
NGS: Next Generation Sequencing Analysis
"
"","","Genome Data Analysis","Base Calling
Comparative Genome Analysis
Genome Data Analysis
Proteome Data Analysis
"
"","","Other","Bioinformatics
Immunogenicity Predictions
Metabonomics Analysis
Metagenomics Analysis
Microbiome Analysis
Omics Informatics Consulting
Proteomics Analysis
Small RNA Gene Expression"
"","Scientific Data Services","Computational Systems Biology","Cancer Systems Biology
Computational Systems Biology
Molecular Phylogenetics
Systems Biomedicine
Systems Network Analysis
Systems Pharmacology
T Cell Epitope Mapping"
"","","Data Science & Modeling","Analysis of Variance
Bayesian Statistics
Biostatistical Design
Machine Learning/ AI
Statistical Analysis Planning"
"","","Scientific Computing","Data Infrastructure
High-Performance Computing
Scientific Cloud Computing
Scientific Pipeline Implementation"
"","","Scientific Data Integration","Application Development
Database Integration
Scientific Data Visualization"
"","","Scientific Data Management","Data and Text Mining
Data Curation
Data Lineage & Quality
Data Quality Framework
Database Management Software
Ontology Mapping
Semantic Tech & Triplestores
System Development
System Integration"
"","","Other","Bioinformatics"
