"第一階層","第二階層","第三階層","第四階層"
"Toxicology","Anatomic Pathology","Anatomic Pathology
Digital Pathology
Histology
Histopathology
Neuropathology",""
"","Neurotoxicology","Abuse and Dependence Liability Testing","Abuse Liability
Conditioned Place Preference or Aversion Study - Mouse /Murine
Conditioned Place Preference or Aversion Study - Rat
Dependence Potential Study - Other Species
Dependence Potential Study - Rat
Drug Discrimination Study - Other Species
Drug Discrimination Study - Rat
Locomotor Activity Assessment Study - Rat
Self Administration Study - Other Species
Self Administration Study - Rat"
"","","Other","Developmental Neurotoxicty Study - Other Species
OECD 426: Developmental Neurotoxicity Study
Repeat Dose Neurotoxicity Study - Other Species
Repeat Dose Neurotoxicity Study - Rat
Seizure Liability Study - Other Species
Seizure Liability Study - Rat
Single Dose Acute Neurotoxicity Study - Other Species
Single Dose Acute Neurotoxicity Study - Rat"
"","Specialty Dosing Routes","Dermal","Dermal Toxicology
Topical Dermal Toxicity and/or Toxicokinetic Study - Dog / Canine
Topical Dermal Toxicity and/or Toxicokinetic Study - Minipig
Topical Dermal Toxicity and/or Toxicokinetic Study - Monkeys/Non-human Primates
Topical Dermal Toxicity and/or Toxicokinetic Study - Mouse / Murine
Topical Dermal Toxicity and/or Toxicokinetic Study - Other Species
Topical Dermal Toxicity and/or Toxicokinetic Study - Rabbit
Topical Dermal Toxicity and/or Toxicokinetic Study - Rat"
"","","Infusion","Chronic Intravenous Infusion Carcinogenicity Study - Other Species
Chronic Intravenous Infusion Carcinogenicity Study - Rat
Repeat Dose Intravenous Infusion Study - Dog / Canine
Repeat Dose Intravenous Infusion Study - Monkey / Non-human Primate
Repeat Dose Intravenous Infusion Study - Other Species
Repeat Dose Intravenous Infusion Study - Rats
Single Dose Acute Intravenous Infusion Study - Dog / Canine
Single Dose Acute Intravenous Infusion Study - Monkey / Non-human Primate
Single Dose Acute Intravenous Infusion Study - Other Species
Single Dose Acute Intravenous Infusion Study - Rats"
"","","Inhalation","Chronic Inhalation Carcinogenicity Study - Other Species
Chronic Inhalation Carcinogenicity Study - Rat
Inhalation Toxicology
Repeat Dose Inhalation Study - Other Species
Repeat Dose Inhalation Study - Rat
Single Dose Acute Inhalation Study - Other Species
Single Dose Acute Inhalation Study - Rat
Intranasal
Chronic Intranasal Carcinogenicity Study - Other Species
Chronic Intranasal Carcinogenicity Study - Rats
Repeat Dose Intranasal Study - Dog / Canine
Repeat Dose Intranasal Study - Monkey / Non-human Primate
Repeat Dose Intranasal Study - Mouse / Murine
Repeat Dose Intranasal Study - Other Species
Repeat Dose Intranasal Study - Rat
Single Dose Acute Intranasal Study - Dog / Canine
Single Dose Acute Intranasal Study - Mouse / Murine
Single Dose Acute Intranasal Study - Other Species
Single Dose Acute Intranasal Study - Rat"
"","","Ocular","Intracameral Implant Toxicity and/or Toxicokinetic Study - Dog / Canine
Intracameral Implant Toxicity and/or Toxicokinetic Study - Monkey / Non-human Primate
Intracameral Implant Toxicity and/or Toxicokinetic Study - Other Species
Intracameral Implant Toxicity and/or Toxicokinetic Study - Rabbit, Non-pigmented (New Zealand White; NZW)
Intracameral Implant Toxicity and/or Toxicokinetic Study - Rabbit, Pigmented (Dutch Belted, New Zealand Red)
Intravitreal Toxicity and/or Toxicokinetic Study - Dog / Canine
Intravitreal Toxicity and/or Toxicokinetic Study - Minipig
Intravitreal Toxicity and/or Toxicokinetic Study - Monkey / Non-human Primate
Intravitreal Toxicity and/or Toxicokinetic Study - Other Species
Intravitreal Toxicity and/or Toxicokinetic Study - Rabbit, Non-pigmented (New Zealand White; NZW)
Intravitreal Toxicity and/or Toxicokinetic Study - Rabbit, Pigmented (Dutch Belted, New Zealand Red)
Ophthalmologic Toxicology
Topical Ocular Toxicity and/or Toxicokinetic Study - Dog / Canine
Topical Ocular Toxicity and/or Toxicokinetic Study - Minipig
Topical Ocular Toxicity and/or Toxicokinetic Study - Monkey / Non-human Primate
Topical Ocular Toxicity and/or Toxicokinetic Study - Mouse / Murine
Topical Ocular Toxicity and/or Toxicokinetic Study - Rabbit, Non-pigmented (New Zealand White; NZW)
Topical Ocular Toxicity and/or Toxicokinetic Study - Rabbit, Pigmented (Dutch Belted, New Zealand Red)
Topical Ocular Toxicity and/or Toxicokinetic Study - Rat
"
"","","Other","Intra-Articular Toxicology
Intra-Auricular Toxicology
Intrathecal/Intraspinal Toxicology"
"","Developmental and Reproductive Toxicology (DART)","Juvenile Toxicology","Juvenile Toxicity Study - Dog / Canine
Juvenile Toxicity Study - Other Species
Juvenile Toxicity Study - Rat
"
"","","Segment I","Fertility and Embryonic Development Study (Segment I) - Mouse / Murine
Fertility and Embryonic Development Study (Segment I) - Other Species
Fertility and Embryonic Development Study (Segment I) - Rat"
